,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
53,0610108.006,"[[-73.965293, 40.759308], [-73.967533, 40.760255], [-73.966583, 40.761551999999995], [-73.964332, 40.760602999999996], [-73.964801, 40.759982], [-73.965293, 40.759308]]",1583,         35734,1605,33,1583,745,950,114,1583,22,950,557
54,0610109.001,"[[-73.990623, 40.750992], [-73.993464, 40.75219], [-73.99297899999999, 40.752854], [-73.992528, 40.753474], [-73.99207899999999, 40.754090999999995], [-73.991633, 40.754706999999996], [-73.988787, 40.753516999999995], [-73.985947, 40.752317], [-73.98729399999999, 40.750451], [-73.98778, 40.749772], [-73.987937, 40.749855], [-73.990623, 40.750992]]",183,        175741,191,6,183,110,113,21,183,8,113,98
55,0610110.003,"[[-73.963424, 40.761859], [-73.963884, 40.761233], [-73.964332, 40.760602999999996], [-73.966583, 40.761551999999995], [-73.96567, 40.762805], [-73.965214, 40.763432], [-73.962974, 40.762487], [-73.963424, 40.761859]]",1528,         51723,1564,46,1528,803,964,116,1528,32,964,745
56,0610110.006,"[[-73.963424, 40.761859], [-73.962974, 40.762487], [-73.960607, 40.761488], [-73.961522, 40.760231], [-73.96196599999999, 40.759619], [-73.964332, 40.760602999999996], [-73.963884, 40.761233], [-73.963424, 40.761859]]",1459,         54247,1505,58,1459,898,983,137,1459,43,983,879
57,0610111.001,"[[-73.992528, 40.753474], [-73.99297899999999, 40.752854], [-73.993464, 40.75219], [-73.996304, 40.753389], [-73.99581599999999, 40.754056999999996], [-73.99535399999999, 40.754688], [-73.994468, 40.755908999999996], [-73.991633, 40.754706999999996], [-73.99207899999999, 40.754090999999995], [-73.992528, 40.753474]]",1685,         87694,1761,153,1685,828,871,152,1685,67,871,770
58,0610111.003,"[[-73.99535399999999, 40.754688], [-73.99667199999999, 40.755215], [-73.99820799999999, 40.755869], [-73.997306, 40.75711], [-73.995757, 40.756429], [-73.99534899999999, 40.756242], [-73.994468, 40.755908999999996], [-73.99535399999999, 40.754688]]",830,         42560,854,69,830,579,509,144,830,21,509,474
59,0610112.011,"[[-73.97768599999999, 40.763645], [-73.97719599999999, 40.764323999999995], [-73.976703, 40.764996], [-73.97623399999999, 40.765675], [-73.973015, 40.764278999999995], [-73.974457, 40.762293], [-73.97768599999999, 40.763645]]",992,         79536,1003,15,992,513,629,69,992,11,629,482
60,0610112.021,"[[-73.97075, 40.761609], [-73.971243, 40.760937], [-73.972852, 40.761614], [-73.974457, 40.762293], [-73.973015, 40.764278999999995], [-73.971411, 40.763588], [-73.96980099999999, 40.762913999999995], [-73.970258, 40.762288], [-73.97075, 40.761609]]",441,         78008,450,9,441,161,245,28,441,9,245,70
61,0610112.032,"[[-73.971243, 40.760937], [-73.97075, 40.761609], [-73.970258, 40.762288], [-73.96980099999999, 40.762913999999995], [-73.968187, 40.762226999999996], [-73.969132, 40.760929], [-73.969625, 40.760251], [-73.971243, 40.760937]]",520,         39209,533,5,520,227,340,12,520,13,340,124
62,0610113.001,"[[-73.988787, 40.753516999999995], [-73.991633, 40.754706999999996], [-73.991177, 40.75533], [-73.990276, 40.756567], [-73.989791, 40.757234], [-73.986949, 40.756036], [-73.984118, 40.754842], [-73.98504299999999, 40.753554], [-73.985947, 40.752317], [-73.988787, 40.753516999999995]]",117,        175653,119,11,117,86,84,8,117,2,84,62
63,0610114.012,"[[-73.97004199999999, 40.765467], [-73.970957, 40.764216], [-73.971411, 40.763588], [-73.973015, 40.764278999999995], [-73.97255299999999, 40.764897999999995], [-73.971189, 40.766767], [-73.969585, 40.766090999999996], [-73.97004199999999, 40.765467]]",557,         49118,560,9,557,215,331,28,557,3,331,235
64,0610114.021,"[[-73.967272, 40.76348], [-73.966813, 40.764105], [-73.966359, 40.764731999999995], [-73.964755, 40.764058], [-73.965214, 40.763432], [-73.96567, 40.762805], [-73.966583, 40.761551999999995], [-73.968187, 40.762226999999996], [-73.967272, 40.76348]]",1345,         49160,1364,21,1345,624,814,90,1345,18,814,338
65,0610114.022,"[[-73.96980099999999, 40.762913999999995], [-73.969337, 40.763546999999996], [-73.96888899999999, 40.764161], [-73.968431, 40.764787999999996], [-73.967974, 40.765412999999995], [-73.966359, 40.764731999999995], [-73.966813, 40.764105], [-73.967272, 40.76348], [-73.968187, 40.762226999999996], [-73.96980099999999, 40.762913999999995]]",1052,         49639,1074,15,1052,395,608,41,1052,22,608,246
66,0610115.002,"[[-73.995757, 40.756429], [-73.997306, 40.75711], [-73.995474, 40.759626999999995], [-73.992633, 40.75843], [-73.994468, 40.755908999999996], [-73.99534899999999, 40.756242], [-73.995757, 40.756429]]",1040,         88134,1078,196,1040,508,450,137,1040,34,450,438
67,0610117.001,"[[-74.00294199999999, 40.759730999999995], [-74.003427, 40.759968], [-74.001716, 40.762208], [-74.00116299999999, 40.762021], [-73.99831499999999, 40.760822999999995], [-73.995474, 40.759626999999995], [-73.997306, 40.75711], [-73.99866899999999, 40.757706], [-74.00294199999999, 40.759730999999995]]",3364,        193863,3499,388,3364,1907,2056,397,3364,130,2056,2050
